id,funded_amount,term,interest_rate,grade,employee_length,home_ownership,annual_income,purpose,title
721751,7000.0, 36 months,14.91,D,2 years,RENT,46000.0,debt_consolidation,Debt Removal
40277218,16800.0, 60 months,16.49,D,4 years,RENT,45500.0,home_improvement,Home improvement
68416017,1500.0, 36 months,9.17,B,10+ years,MORTGAGE,83000.0,major_purchase,Major purchase
59481461,8000.0, 36 months,12.29,C,2 years,RENT,74000.0,debt_consolidation,Debt consolidation
73003,3200.0, 36 months,9.96,B,< 1 year,MORTGAGE,150000.0,other,New Bathroom
55917749,5000.0, 36 months,12.29,C,10+ years,MORTGAGE,55000.0,home_improvement,Home improvement
1149328,11500.0, 36 months,16.29,C,2 years,MORTGAGE,68000.0,credit_card,Credit Card
1614457,6000.0, 36 months,15.8,C,5 years,MORTGAGE,36000.0,debt_consolidation,Debt consolidation
31999103,11000.0, 36 months,14.49,C,10+ years,RENT,72000.0,debt_consolidation,Debt consolidation
290605,15000.0, 36 months,9.45,B,1 year,RENT,150000.0,house,Chicago Home Purchase
49864582,10000.0, 60 months,11.53,B,7 years,OWN,78000.0,credit_card,Credit card refinancing
42221389,2875.0, 36 months,12.69,C,6 years,RENT,49040.0,debt_consolidation,Debt consolidation
62166736,4500.0, 36 months,5.32,A,10+ years,MORTGAGE,76000.0,home_improvement,Home improvement
62082707,3225.0, 36 months,13.33,C,10+ years,OWN,60000.0,credit_card,Credit card refinancing
1248751,21000.0, 60 months,10.74,B,10+ years,RENT,77983.0,debt_consolidation,Debt Consolidation
39629278,11000.0, 36 months,8.67,B,6 years,RENT,45000.0,credit_card,Credit card refinancing
62042554,18000.0, 60 months,12.29,C,2 years,OWN,48000.0,debt_consolidation,Debt consolidation
4798106,22000.0, 36 months,12.12,B,8 years,RENT,78000.0,credit_card,Credit Card Payoff
38539098,6000.0, 36 months,6.03,A,7 years,RENT,73000.0,credit_card,Credit card refinancing
56994235,6000.0, 36 months,10.99,B,1 year,RENT,40000.0,debt_consolidation,Debt consolidation
58723821,10000.0, 36 months,8.18,B,< 1 year,MORTGAGE,43000.0,debt_consolidation,Debt consolidation
38514650,22950.0, 60 months,12.99,C,9 years,RENT,50000.0,debt_consolidation,Debt consolidation
41339796,4800.0, 36 months,18.25,E,8 years,MORTGAGE,46000.0,vacation,Vacation
60833297,22300.0, 60 months,17.57,D,3 years,RENT,88250.0,credit_card,Credit card refinancing
10095878,19750.0, 60 months,20.5,E,2 years,MORTGAGE,99075.0,debt_consolidation,Debt Consolidation
6836002,11075.0, 36 months,13.05,B,6 years,RENT,55000.0,debt_consolidation,Lower rate
3702908,25000.0, 60 months,23.76,F,9 years,MORTGAGE,68000.0,debt_consolidation,Debt consolidation
62399461,3000.0, 36 months,12.69,C,9 years,RENT,55500.0,car,Car financing
43155702,31500.0, 36 months,18.84,E,< 1 year,RENT,130000.0,major_purchase,Major purchase
58350400,20000.0, 36 months,9.17,B,1 year,RENT,76343.0,credit_card,Credit card refinancing
65382755,20375.0, 60 months,9.17,B,4 years,MORTGAGE,98000.0,debt_consolidation,Debt consolidation
9274571,26000.0, 60 months,15.1,C,5 years,MORTGAGE,115000.0,debt_consolidation,Consolidation
2865306,4000.0, 36 months,7.62,A,8 years,RENT,71000.0,debt_consolidation,Debt Consolidation
1444634,6000.0, 36 months,12.12,B,1 year,RENT,40000.0,credit_card,Lending Club
66583250,4175.0, 36 months,17.86,D,10+ years,RENT,25000.0,debt_consolidation,Debt consolidation
43165466,1000.0, 36 months,12.69,C,10+ years,MORTGAGE,55000.0,vacation,Vacation
8945719,9600.0, 36 months,7.9,A,7 years,MORTGAGE,90000.0,credit_card,pay off credit
29575450,14400.0, 36 months,8.39,A,10+ years,MORTGAGE,67000.0,debt_consolidation,Debt consolidation
10119917,10000.0, 36 months,11.99,B,10+ years,RENT,150000.0,credit_card,CC Payoff
67819776,6000.0, 36 months,14.48,C,4 years,RENT,85000.0,debt_consolidation,Debt consolidation
12528412,6000.0, 36 months,12.49,B,10+ years,MORTGAGE,56000.0,major_purchase,Major purchase
18965501,10800.0, 36 months,12.49,B,6 years,RENT,65000.0,debt_consolidation,Debt consolidation
56280184,34000.0, 36 months,7.26,A,9 years,MORTGAGE,110000.0,debt_consolidation,Debt consolidation
7389445,17500.0, 60 months,14.3,C,10+ years,MORTGAGE,40000.0,credit_card,Credit card refinancing
62286613,35000.0, 60 months,10.99,B,8 years,MORTGAGE,102802.0,credit_card,Credit card refinancing
7695133,14000.0, 36 months,10.99,B,10+ years,OWN,54000.0,debt_consolidation,Debt consolidation
23935069,18000.0, 36 months,14.99,C,7 years,RENT,45000.0,debt_consolidation,Debt consolidation
8967105,6225.0, 36 months,9.67,B,6 years,RENT,45000.0,debt_consolidation,Consolidate LC
57236645,17200.0, 60 months,8.18,B,10+ years,RENT,49753.0,debt_consolidation,Debt consolidation
55967936,6500.0, 36 months,11.53,B,2 years,RENT,40000.0,credit_card,Credit card refinancing
